Aatrox,Top,1.14%
Aatrox,Jungle,1.24%
Ahri,Middle,15%
Akali,Top,0.82%
Akali,Middle,1.33%
Alistar,Support,12.96%
Amumu,Jungle,6.23%
Anivia,Middle,2.98%
Annie,Support,4.38%
Annie,Middle,8.63%
Ashe,ADC,9.83%
Azir,Middle,9.83%
Bard,Support,5.49%
Blitzcrank,Support,13.20%
Brand,Support,0.91%
Brand,Middle,3.20%
Braum,Support,9.48%
Caitlyn,ADC,20.96%
Cassiopeia,Top,0.50%
Cassiopeia,Middle,2.41%
Cho'Gath,Middle,3.26%
Cho'Gath,Top,5.03%
Corki,ADC,8.74%
Darius,Top,4.07%
Diana,Jungle,4.21%
Diana,Middle,7.37%
Dr. Mundo,Top,1.35%
Draven,ADC,8.59%
Ekko,Top,1.56%
Ekko,Jungle,2.48%
Ekko,Middle,4.01%
Elise,Top,0.13%
Elise,Jungle,0.95%
Evelynn,Jungle,7.23%
Ezreal,ADC,3.89%
Ezreal,Middle,16.23%
Fiddlesticks,Support,0.31%
Fiddlesticks,Jungle,1.83%
Fiora,Top,2.65%
Fizz,Jungle,3.04%
Fizz,Top,3.48%
Fizz,Middle,6.93%
Galio,Top,0.48%
Galio,Middle,0.84%
Gangplank,Middle,0.52%
Gangplank,Top,2.33%
Garen,Top,3.35%
Gnar,Top,10.92%
Gragas,Jungle,7.26%
Graves,ADC,16.68%
Hecarim,Jungle,2.81%
Hecarim,Top,3.99%
Heimerdinger,Middle,1.12%
Heimerdinger,Top,1.13%
Irelia,Top,11.86%
Janna,Support,20.46%
Jarvan IV,Top,2.54%
Jarvan IV,Jungle,4.36%
Jax,Jungle,3.76%
Jax,Top,5.18%
Jayce,Top,2.84%
Jayce,Middle,3.57%
Jinx,ADC,25.98%
Kalista,ADC,10.00%
Karma,Middle,0.73%
Karma,Support,1.85%
Karthus,Top,0.25%
Karthus,Middle,1.33%
Kassadin,Top,0.19%
Kassadin,Middle,1.19%
Katarina,Middle,6.20%
Kayle,Top,1.30%
Kayle,Middle,1.78%
Kayle,Jungle,7.22%
Kennen,Middle,0.71%
Kennen,Top,1.60%
Kha'Zix,Jungle,4.63%
Kog'Maw,ADC,1.03%
Kog'Maw,Middle,1.69%
LeBlanc,Middle,5.27%
Lee Sin,Jungle,13.46%
Leona,Support,15.60%
Lissandra,Top,1.14%
Lissandra,Middle,1.68%
Lucian,ADC,11.81%
Lulu,Top,1.03%
Lulu,Middle,1.05%
Lulu,Support,4.54%
Lux,Middle,8.22%
Malphite,Jungle,1.42%
Malphite,Top,6.45%
Malzahar,Middle,3.94%
Maokai,Jungle,1.21%
Maokai,Top,4.91%
Master Yi,Jungle,14.08%
Miss Fortune,ADC,2.33%
Mordekaiser,Top,0.91%
Mordekaiser,Middle,0.93%
Morgana,Middle,2.06%
Morgana,Support,12.49%
Nami,Support,4.84%
Nasus,Top,7.20%
Nautilus,Jungle,2.11%
Nautilus,Top,2.42%
Nautilus,Support,11.38%
Nidalee,Middle,1.97%
Nidalee,Jungle,8.68%
Nocturne,Jungle,5.00%
Nunu,Support,0.31%
Nunu,Jungle,1.94%
Olaf,Jungle,1.05%
Olaf,Top,1.64%
Orianna,Middle,7.23%
Pantheon,Jungle,1.87%
Pantheon,Top,2.37%
Poppy,Jungle,0.41%
Poppy,Top,0.54%
Quinn,Top,0.51%
Quinn,ADC,1.21%
Rammus,Jungle,1.34%
Rek'Sai,Jungle,6.79%
Renekton,Top,7.48%
Rengar,Top,3.97%
Rengar,Jungle,8.69%
Riven,Top,12.96%
Rumble,Top,6.32%
Ryze,Middle,1.15%
Ryze,Top,5.79%
Sejuani,Jungle,4.67%
Shaco,Jungle,4.68%
Shen,Support,2.54%
Shen,Top,9.63%
Shyvana,Top,2.52%
Shyvana,Jungle,14.86%
Singed,Top,2.89%
Sion,Jungle,0.50%
Sion,Top,1.96%
Sivir,ADC,17.85%
Skarner,Jungle,2.04%
Sona,Support,4.28%
Soraka,Support,5.53%
Swain,Top,1.42%
Swain,Middle,2.11%
Syndra,Middle,2.46%
Tahm Kench,Top,2.11%
Tahm Kench,Support,10.61%
Talon,Middle,3.39%
Taric,Support,1.44%
Teemo,Middle,0.28%
Teemo,Top,1.73%
Thresh,Support,37.67%
Tristana,ADC,12.10%
Trundle,Jungle,0.81%
Trundle,Top,1.32%
Tryndamere,Jungle,0.80%
Tryndamere,Top,4.55%
Twisted Fate,Middle,6.97%
Twitch,ADC,1.87%
Udyr,Jungle,8.74%
Urgot,Middle,0.12%
Urgot,Top,0.19%
Urgot,ADC,0.27%
Varus,ADC,3.05%
Varus,Middle,3.46%
Vayne,ADC,33.33%
Veigar,Middle,1.86%
Vel'Koz,Support,1.21%
Vel'Koz,Middle,1.60%
Vi,Jungle,9.38%
Viktor,Middle,10.98%
Vladimir,Middle,4.23%
Vladimir,Top,10.30%
Volibear,Top,1.25%
Volibear,Jungle,2.59%
Warwick,Jungle,7.14%
Wukong,Jungle,2.83%
Wukong,Top,4.47%
Xerath,Middle,3.68%
Xin Zhao,Jungle,7.88%
Yasuo,Top,3.94%
Yasuo,Middle,10.30%
Yorick,Top,0.81%
Zac,Top,0.55%
Zac,Jungle,1.75%
Zed,Middle,1.51%
Ziggs,Middle,3.12%
Zilean,Middle,0.15%
Zilean,Support,0.59%
Zyra,Middle,0.56%
Zyra,Support,1.71%
